 Moyenne avec cache chaud 16:32
8 5.76172e-10 6.36328e-09 0.0905463 2 -8280 
16 5.32715e-10 1.43701e-09 0.37071 2 2025 
24 5.64779e-10 1.11621e-09 0.505978 2 -2070 
32 5.52002e-10 9.1626e-10 0.602451 2 3510 
40 6.13672e-10 8.49219e-10 0.722631 2 -5580 
48 6.10677e-10 7.28516e-10 0.838248 2 -765 
56 5.78125e-10 6.59459e-10 0.876666 2 -7335 
64 5.77271e-10 5.85205e-10 0.986441 2 -450 
72 5.48069e-10 5.82357e-10 0.941122 2 -7245 
80 5.4873e-10 5.31836e-10 1.03177 2 -315 
88 6.55984e-10 5.07191e-10 1.29337 2 1170 
96 3.99274e-10 4.47458e-10 0.892316 2 -10845 
106 4.03405e-10 4.24242e-10 0.950882 2 9765 
117 3.96438e-10 3.53279e-10 1.12217 2 -3285 
128 4.31352e-10 3.95331e-10 1.09112 2 810 
141 5.88952e-10 3.60935e-10 1.63174 2 -11430 
155 5.88312e-10 3.82919e-10 1.53639 2 3465 
171 5.89147e-10 3.82102e-10 1.54186 2 -3015 
188 5.8759e-10 3.60217e-10 1.63121 2 585 
207 5.88703e-10 3.65656e-10 1.60999 2 -9720 
228 5.99829e-10 3.40842e-10 1.75984 2 -5220 
251 5.92201e-10 3.47515e-10 1.7041 2 -5535 
276 6.05874e-10 3.26618e-10 1.85499 2 7920 
303 6.60013e-10 3.18895e-10 2.06969 2 5400 
334 6.92061e-10 3.14837e-10 2.19816 2 1935 
367 7.37484e-10 3.09028e-10 2.38646 2 -1260 
404 8.00135e-10 3.23993e-10 2.46961 2 3960 
444 8.70149e-10 3.24777e-10 2.67922 2 5130 
489 9.64558e-10 3.10078e-10 3.11069 2 9225 
538 9.96428e-10 3.54024e-10 2.81458 2 4365 
591 1.06281e-09 3.27319e-10 3.24701 2 -11115 
651 1.15568e-09 3.42253e-10 3.37667 2 -4140 
716 1.17302e-09 3.97017e-10 2.95458 2 315 
787 1.19753e-09 4.435e-10 2.70017 2 360 
866 1.20995e-09 4.74904e-10 2.54778 2 -6300 
953 1.2113e-09 5.20253e-10 2.32829 2 8730 
1048 1.21347e-09 5.59938e-10 2.16715 2 -8235 
1153 1.20981e-09 5.84287e-10 2.07058 2 -3105 
1268 1.21172e-09 6.04909e-10 2.00315 2 630 
1395 1.20989e-09 6.28593e-10 1.92475 2 10890 
1535 1.21538e-09 6.3868e-10 1.90295 2 3690 
1688 1.21367e-09 6.42614e-10 1.88865 2 3825 
1857 1.21664e-09 6.4081e-10 1.8986 2 -1710 
2043 1.22344e-09 6.44349e-10 1.89873 2 -675 
2247 1.22776e-09 6.44376e-10 1.90535 2 5085 
2472 1.24995e-09 6.62466e-10 1.88682 2 3240 
2719 1.2644e-09 6.72575e-10 1.87994 2 -8820 
2991 1.30677e-09 6.78039e-10 1.92727 2 -8865 
3290 1.32592e-09 6.94442e-10 1.90933 2 3285 
3619 1.3489e-09 7.10085e-10 1.89963 2 3555 
3981 1.38638e-09 7.3856e-10 1.87713 2 -4185 
4379 1.41794e-09 7.49296e-10 1.89236 2 2250 
4817 1.45806e-09 7.70946e-10 1.89126 2 -2160 
5299 1.50961e-09 7.95162e-10 1.89849 2 -3420 
5829 1.54716e-09 8.19623e-10 1.88765 2 315 
6412 1.58848e-09 8.48361e-10 1.87241 2 -6975 
7053 1.62352e-09 8.74535e-10 1.85643 2 6030 
7758 1.65973e-09 8.96957e-10 1.8504 2 -2655 
8534 1.68821e-09 9.23492e-10 1.82807 2 3645 
9388 1.73067e-09 9.44946e-10 1.8315 2 -2070 
10326 1.75516e-09 9.59246e-10 1.82973 2 -10035 
11359 1.77961e-09 9.7192e-10 1.83102 2 1215 
12495 1.80308e-09 9.86857e-10 1.82709 2 5625 
13745 1.82386e-09 1.00065e-09 1.82267 2 -14310 
15119 1.84242e-09 1.00898e-09 1.82603 2 1080 
16631 1.86593e-09 1.02011e-09 1.82915 2 -3060 
18294 1.87928e-09 1.04423e-09 1.79969 2 -7740 
20124 1.8959e-09 1.05021e-09 1.80526 2 11340 
22136 1.90537e-09 1.05633e-09 1.80377 2 -5760 
24350 1.93304e-09 1.06619e-09 1.81303 2 -1485 
26785 1.95277e-09 1.06562e-09 1.83252 2 3960 
29463 1.96562e-09 1.06896e-09 1.83882 2 7335 
32410 1.96915e-09 1.06687e-09 1.84572 2 -2700 
8 5.22461e-10 2.44238e-09 0.213914 4 135 
16 5.03418e-10 2.93652e-09 0.171433 4 3780 
24 6.03516e-10 1.00586e-09 0.6 4 6480 
32 5.95947e-10 7.35107e-10 0.810694 4 7020 
40 5.8457e-10 5.97656e-10 0.978105 4 -9810 
48 5.861e-10 5.31413e-10 1.10291 4 -1845 
56 5.84124e-10 5.10045e-10 1.14524 4 9495 
64 6.68457e-10 4.60205e-10 1.45252 4 -765 
72 5.33312e-10 4.27734e-10 1.24683 4 -90 
80 5.41211e-10 3.9502e-10 1.37009 4 -9360 
88 5.37731e-10 3.85387e-10 1.3953 4 -9360 
96 5.10734e-10 3.47135e-10 1.47129 4 -135 
106 4.43319e-10 2.93712e-10 1.50937 4 8865 
117 5.05236e-10 3.02115e-10 1.67233 4 270 
128 4.46513e-10 2.75076e-10 1.62324 4 -8235 
141 4.28579e-10 2.65891e-10 1.61186 4 8820 
155 4.32338e-10 2.35565e-10 1.83532 4 7785 
171 4.28031e-10 2.31558e-10 1.84848 4 1395 
188 4.57893e-10 2.32633e-10 1.9683 4 4185 
207 4.26436e-10 2.26134e-10 1.88576 4 -2115 
228 5.75145e-10 2.15303e-10 2.67133 4 2115 
251 4.31421e-10 1.99776e-10 2.15953 4 3195 
276 5.96197e-10 1.89452e-10 3.14695 4 585 
303 6.10165e-10 1.87741e-10 3.25003 4 -7200 
334 6.04279e-10 1.80545e-10 3.34698 4 8055 
367 6.80874e-10 1.75421e-10 3.88136 4 -4050 
404 8.09837e-10 1.83805e-10 4.40595 4 10170 
444 9.20238e-10 1.61774e-10 5.68842 4 9765 
489 1.0183e-09 1.54528e-10 6.58977 4 3150 
538 1.1188e-09 1.78217e-10 6.27774 4 -5085 
591 1.17553e-09 1.57607e-10 7.45863 4 -6390 
651 1.20449e-09 1.43101e-10 8.41711 4 12555 
716 1.21442e-09 1.70892e-10 7.10635 4 1935 
787 1.21676e-09 1.41245e-10 8.61452 4 -11565 
866 1.21225e-09 1.59428e-10 7.60374 4 -1215 
953 1.19483e-09 1.51566e-10 7.88325 4 -13545 
1048 1.21159e-09 1.49196e-10 8.12081 4 2970 
1153 1.21582e-09 1.71061e-10 7.10751 4 9270 
1268 1.21583e-09 1.77236e-10 6.85994 4 13815 
1395 1.21358e-09 1.93415e-10 6.27448 4 -6750 
1535 1.21524e-09 2.15825e-10 5.6307 4 675 
1688 1.21846e-09 2.37263e-10 5.13549 4 2025 
1857 1.22136e-09 2.69578e-10 4.53063 4 -1935 
2043 1.22354e-09 2.8131e-10 4.34944 4 4005 
2247 1.22981e-09 3.08428e-10 3.98735 4 -855 
2472 1.24053e-09 3.2173e-10 3.85582 4 765 
2719 1.25526e-09 3.31329e-10 3.78856 4 3825 
2991 1.27032e-09 3.32915e-10 3.81574 4 -4860 
3290 1.29517e-09 3.4651e-10 3.73775 4 -1935 
3619 1.329e-09 3.4775e-10 3.8217 4 -4635 
3981 1.34822e-09 3.58e-10 3.76598 4 -4545 
4379 1.39529e-09 3.67949e-10 3.79206 4 2565 
4817 1.41237e-09 3.76536e-10 3.75095 4 -6930 
5299 1.47709e-09 4.00137e-10 3.69146 4 -225 
5829 1.5007e-09 4.25733e-10 3.52497 4 2610 
