 Moyenne avec cache chaud 16:32
8 2.15527e-09 1.43174e-08 0.150535 2 1.14671e+07 
16 2.13623e-09 3.75391e-09 0.569069 2 4.59436e+07 
24 2.12891e-09 2.92839e-09 0.72699 2 -4.60523e+07 
32 2.12402e-09 2.55811e-09 0.830311 2 -6.91254e+07 
40 2.01504e-09 2.30879e-09 0.872769 2 5.05055e+07 
48 2.01367e-09 2.02897e-09 0.992459 2 -3.54553e+07 
56 2.01228e-09 1.98786e-09 1.01228 2 -1.17197e+08 
64 1.91565e-09 1.88123e-09 1.0183 2 1.60174e+08 
72 1.8278e-09 1.77507e-09 1.02971 2 -2.90211e+07 
80 1.82725e-09 1.76416e-09 1.03576 2 -9.10648e+07 
88 1.74805e-09 1.67729e-09 1.04218 2 -1.37405e+08 
96 1.67522e-09 1.59613e-09 1.04956 2 -9.48867e+07 
106 1.67488e-09 1.56754e-09 1.06848 2 -6.80637e+07 
117 1.6744e-09 1.53192e-09 1.09301 2 -2.37912e+08 
128 1.67471e-09 1.50546e-09 1.11243 2 -1.13633e+08 
141 1.67407e-09 1.50488e-09 1.11243 2 -6.27621e+07 
155 1.67392e-09 1.46336e-09 1.14388 2 1.25963e+08 
171 1.67349e-09 1.45081e-09 1.15348 2 1.11913e+08 
188 1.67371e-09 1.4219e-09 1.1771 2 2.52076e+08 
207 1.67298e-09 1.40753e-09 1.18859 2 -3.91029e+07 
228 1.67278e-09 1.38702e-09 1.20602 2 5.48231e+07 
251 1.67265e-09 1.37926e-09 1.21272 2 -2.16517e+08 
276 1.67248e-09 1.35367e-09 1.23552 2 -2.59805e+07 
303 1.67226e-09 1.34071e-09 1.24729 2 -2.51151e+07 
334 1.6724e-09 1.33181e-09 1.25573 2 -3.52908e+07 
367 1.6722e-09 1.31825e-09 1.2685 2 3.38999e+08 
404 1.67206e-09 1.3117e-09 1.27473 2 3.62628e+08 
444 1.67203e-09 1.30575e-09 1.28051 2 1.84931e+08 
489 1.67219e-09 1.29428e-09 1.29198 2 2.62686e+08 
538 1.67236e-09 1.28828e-09 1.29813 2 4.50189e+07 
591 1.67263e-09 1.29586e-09 1.29074 2 1.81929e+08 
